1,Kursus Komputer Malang,Kursus Komputer,"Perum Dirgantara, Jl. Dirgantara I No.12 A, Lesanpuro, Kec. Kedungkandang, Kota Malang, Jawa Timur 65138, Indonesia",-7.9830347,112.6453049,(0341) 3789808,-,-,-,Ada,"WIFI, Buku",Pagi,-,Setiap Hari,"Selasa	08.00–17.00
Rabu	08.00–17.00
Kamis	08.00–17.00
Jumat	08.00–17.00
Sabtu	08.00–17.00
Minggu	08.00–17.00
Senin	08.00–17.00",Privat,-
2,LKP CITRA KOMPUTER KOTA MALANG,Kursus Komputer,"Jl. Guntur No.33, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65112, Indonesia",-7.968293,112.6271461,(0341) 9857840,-,-,-,Ada,"WIFI, Buku",Pagi,-,Setiap Hari,"Selasa	08.00–17.00
Rabu	08.00–17.00
Kamis	08.00–17.00
Jumat	08.00–17.00
Sabtu	08.00–17.00
Minggu	08.00–17.00
Senin	08.00–17.00",Privat,-
3,Karisma Academy,Kursus Komputer,"Jl. Watu Gong No.18, Ketawanggede, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145, Indonesia",-7.9481978,112.6095927,(0341) 9255444,-,-,-,Ada,"WIFI, Buku",Siang,-,Setiap Hari,"Selasa	09.00–20.00
Rabu	09.00–20.00
Kamis	09.00–20.00
Jumat	09.00–20.00
Sabtu	09.00–20.00
Minggu	09.00–20.00
Senin	09.00–20.00",Kelas,-
4,Solid Education Center,Kursus Komputer,"Jl. Letjend S. Parman No.4, Purwantoro, Kec. Blimbing, Kota Malang, Jawa Timur 65126, Indonesia",-7.9550056,112.6364289,(0341) 8658699,-,-,-,Ada,"WIFI, Buku",Siang,-,Setiap Hari,"Selasa	09.00–20.00
Rabu	09.00–20.00
Kamis	09.00–20.00
Jumat	09.00–20.00
Sabtu	09.00–20.00
Minggu	09.00–20.00
Senin	09.00–20.00",Kelas,-
